country,year_raw,value,year
   Austria,1990,112800000,1990
   Belgium,1990,0,1990
   Belgium/Luxembourg,1990,120900000,1990
   Bulgaria,1990,16080000,1990
   Croatia,1990,0,1990
   Cyprus,1990,3000000,1990
   Czechia,1990,39540000,1990
   Denmark,1990,57540000,1990
   Estonia,1990,0,1990
   Finland,1990,65700000,1990
   France,1990,378060000,1990
   Germany,1990,820260000,1990
   Greece,1990,38520000,1990
   Hungary,1990,34440000,1990
   Ireland,1990,7740000,1990
   Italy,1990,314520000,1990
   Latvia,1990,0,1990
   Lithuania,1990,0,1990
   Luxembourg,1990,0,1990
   Malta,1990,1260000,1990
   Netherlands,1990,187680000,1990
   Poland,1990,26100000,1990
   Portugal,1990,33120000,1990
   Romania,1990,26520000,1990
   Slovakia,1990,0,1990
   Slovenia,1990,0,1990
   Spain,1990,183180000,1990
   Sweden,1990,106020000,1990
Japan,1990,319800000,1990
Norway,1990,44520000,1990
Russian Federation,1990,0,1990
Switzerland,1990,70260000,1990
Tunisia,1990,6060000,1990
United Kingdom,1990,173880000,1990
United States of America,1990,1260420000,1990
   Austria,1991,123480000,1991
   Belgium,1991,0,1991
   Belgium/Luxembourg,1991,104760000,1991
   Bulgaria,1991,12000000,1991
   Croatia,1991,0,1991
   Cyprus,1991,3240000,1991
   Czechia,1991,31500000,1991
   Denmark,1991,58980000,1991
   Estonia,1991,0,1991
   Finland,1991,61980000,1991
   France,1991,393180000,1991
   Germany,1991,793740000,1991
   Greece,1991,24420000,1991
   Hungary,1991,38460000,1991
   Ireland,1991,7080000,1991
   Italy,1991,277800000,1991
   Latvia,1991,0,1991
   Lithuania,1991,0,1991
   Luxembourg,1991,0,1991
   Malta,1991,960000,1991
   Netherlands,1991,187260000,1991
   Poland,1991,15000000,1991
   Portugal,1991,33420000,1991
   Romania,1991,20100000,1991
   Slovakia,1991,0,1991
   Slovenia,1991,0,1991
   Spain,1991,178200000,1991
   Sweden,1991,103020000,1991
Japan,1991,330600000,1991
Norway,1991,45660000,1991
Russian Federation,1991,0,1991
Switzerland,1991,67800000,1991
Tunisia,1991,5400000,1991
United Kingdom,1991,168360000,1991
