country,year_raw,value,year
   Austria,1990,24900000,1990
   Belgium,1990,0,1990
   Belgium/Luxembourg,1990,53460000,1990
   Bulgaria,1990,9960000,1990
   Croatia,1990,0,1990
   Cyprus,1990,960000,1990
   Czechia,1990,0,1990
   Denmark,1990,5640000,1990
   Estonia,1990,0,1990
   Finland,1990,1140000,1990
   France,1990,54780000,1990
   Germany,1990,197520000,1990
   Greece,1990,660000,1990
   Hungary,1990,0,1990
   Ireland,1990,600000,1990
   Italy,1990,22980000,1990
   Latvia,1990,0,1990
   Lithuania,1990,0,1990
   Luxembourg,1990,0,1990
   Malta,1990,60000,1990
   Netherlands,1990,35100000,1990
   Poland,1990,6000000,1990
   Portugal,1990,1860000,1990
   Romania,1990,0,1990
   Slovakia,1990,0,1990
   Slovenia,1990,0,1990
   Spain,1990,15900000,1990
   Sweden,1990,4620000,1990
Japan,1990,1200000,1990
Norway,1990,480000,1990
Russian Federation,1990,0,1990
Switzerland,1990,9960000,1990
Tunisia,1990,0,1990
United Kingdom,1990,28920000,1990
United States of America,1990,49500000,1990
   Austria,1991,45360000,1991
   Belgium,1991,0,1991
   Belgium/Luxembourg,1991,62280000,1991
   Bulgaria,1991,10980000,1991
   Croatia,1991,0,1991
   Cyprus,1991,420000,1991
   Czechia,1991,0,1991
   Denmark,1991,4440000,1991
   Estonia,1991,0,1991
   Finland,1991,1260000,1991
   France,1991,60420000,1991
   Germany,1991,195120000,1991
   Greece,1991,1200000,1991
   Hungary,1991,15660000,1991
   Ireland,1991,300000,1991
   Italy,1991,24120000,1991
   Latvia,1991,0,1991
   Lithuania,1991,0,1991
   Luxembourg,1991,0,1991
   Malta,1991,180000,1991
   Netherlands,1991,37980000,1991
   Poland,1991,420000,1991
   Portugal,1991,2040000,1991
   Romania,1991,0,1991
   Slovakia,1991,0,1991
   Slovenia,1991,0,1991
   Spain,1991,16080000,1991
   Sweden,1991,6840000,1991
Japan,1991,2040000,1991
Norway,1991,240000,1991
Russian Federation,1991,0,1991
Switzerland,1991,9060000,1991
Tunisia,1991,0,1991
United Kingdom,1991,29100000,1991
United States of America,1991,60600000,1991
   Austria,1992,57600000,1992
   Belgium,1992,0,1992
   Belgium/Luxembourg,1992,67860000,1992
   Bulgaria,1992,420000,1992
   Croatia,1992,2040000,1992
   Cyprus,1992,240000,1992
   Czechia,1992,180000,1992
   Denmark,1992,6180000,1992
   Estonia,1992,180000,1992
   Finland,1992,2100000,1992
   France,1992,61380000,1992
   Germany,1992,199080000,1992
   Greece,1992,1740000,1992
   Hungary,1992,10440000,1992
   Ireland,1992,240000,1992
   Italy,1992,27900000,1992
   Latvia,1992,60000,1992
   Lithuania,1992,0,1992
   Luxembourg,1992,0,1992
   Malta,1992,120000,1992
   Netherlands,1992,38880000,1992
   Poland,1992,8220000,1992
   Portugal,1992,2400000,1992
   Romania,1992,180000,1992
   Slovakia,1992,0,1992
   Slovenia,1992,420000,1992
   Spain,1992,17220000,1992
   Sweden,1992,8280000,1992
Japan,1992,1620000,1992
Norway,1992,180000,1992
Russian Federation,1992,300000,1992
Switzerland,1992,9300000,1992
Tunisia,1992,0,1992
United Kingdom,1992,34200000,1992
United States of America,1992,82620000,1992
   Austria,1993,32100000,1993
   Belgium,1993,0,1993
   Belgium/Luxembourg,1993,76440000,1993
   Bulgaria,1993,4200000,1993
   Croatia,1993,1860000,1993
   Cyprus,1993,120000,1993
   Czechia,1993,3960000,1993
   Denmark,1993,6180000,1993
   Estonia,1993,420000,1993
   Finland,1993,11880000,1993
   France,1993,58560000,1993
   Germany,1993,196920000,1993
   Greece,1993,13620000,1993
   Hungary,1993,6660000,1993
   Ireland,1993,180000,1993
   Italy,1993,39840000,1993
   Latvia,1993,1080000,1993
   Lithuania,1993,0,1993
   Luxembourg,1993,0,1993
   Malta,1993,60000,1993
   Netherlands,1993,25500000,1993
   Poland,1993,7560000,1993
   Portugal,1993,2280000,1993
   Romania,1993,360000,1993
   Slovakia,1993,780000,1993
   Slovenia,1993,300000,1993
   Spain,1993,10080000,1993
   Sweden,1993,8280000,1993
Japan,1993,2040000,1993
Norway,1993,180000,1993
Russian Federation,1993,0,1993
Switzerland,1993,9960000,1993
Tunisia,1993,0,1993
United Kingdom,1993,37740000,1993
United States of America,1993,103200000,1993
